time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:46,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:22:41,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:24:36,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:26:32,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:28:27,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:30:22,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:32:21,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:34:16,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:36:10,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,89.0,31.34,10000.0,0.0,100.0,2.69,6.13,249.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:38:06,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:40:01,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:41:59,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:43:53,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:45:49,Dong Nai-Bien Hoa,Bien Hoa,27.25,27.0,27.25,90.0,31.46,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:47:46,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:49:41,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:51:36,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:53:30,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:55:25,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:57:19,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:59:14,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 02:03:02,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 02:04:57,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-07-18 02:06:54,Dong Nai-Bien Hoa,Bien Hoa,26.7,26.7,27.0,89.0,29.81,10000.0,0.0,100.0,2.16,4.08,247.0,1007.0,0,804,Clouds,overcast clouds,04n
