time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:45,Nghe An-Vinh,Vinh,27.08,27.08,27.08,79.0,29.82,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:22:40,Nghe An-Vinh,Vinh,27.08,27.08,27.08,79.0,29.82,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:24:35,Nghe An-Vinh,Vinh,27.08,27.08,27.08,79.0,29.82,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:26:30,Nghe An-Vinh,Vinh,26.9,26.9,26.9,79.0,29.43,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:28:26,Nghe An-Vinh,Vinh,26.9,26.9,26.9,79.0,29.43,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:30:21,Nghe An-Vinh,Vinh,26.9,26.9,26.9,79.0,29.43,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:32:18,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:34:15,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:36:09,Nghe An-Vinh,Vinh,26.9,26.9,26.9,79.0,29.43,10000.0,0.0,5.0,2.67,4.43,240.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:38:05,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:40:00,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:41:58,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:43:52,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:45:47,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:47:43,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:49:40,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:51:35,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:53:29,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:55:23,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:57:18,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 01:59:13,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:03:00,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:04:56,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:06:52,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:08:48,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:10:44,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:12:39,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:14:34,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:16:30,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:18:25,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:20:21,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:22:15,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:24:10,Nghe An-Vinh,Vinh,26.57,26.57,26.57,81.0,26.57,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:26:05,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:28:01,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:29:56,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
2025-07-18 02:31:52,Nghe An-Vinh,Vinh,26.56,26.56,26.56,81.0,26.56,10000.0,0.0,8.0,2.76,4.43,244.0,1002.0,0,800,Clear,clear sky,01n
