time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:47,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:22:41,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:24:36,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:26:33,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:28:27,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:30:22,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:32:21,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,82.0,36.97,10000.0,0.0,100.0,2.03,2.12,92.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:34:16,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,82.0,36.97,10000.0,0.0,100.0,2.03,2.12,92.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:36:11,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,81.0,36.97,10000.0,0.0,98.0,2.14,2.48,88.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:38:07,Vinh Phuc-Vinh Yen,Vinh Yen,29.97,29.97,29.97,82.0,36.97,10000.0,0.0,100.0,2.03,2.12,92.0,1001.0,0,804,Clouds,overcast clouds,04n
