time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-06-29 23:29:18,Bac Kan,Bac Kan,24.33,24.33,24.33,99.0,25.4,10000.0,0.0,100.0,0.76,0.44,178.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:30:26,Bac Kan,Bac Kan,24.33,24.33,24.33,99.0,25.4,10000.0,0.0,100.0,0.76,0.44,178.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:32:53,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:34:56,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:36:58,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:39:01,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:41:06,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:43:11,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.16,100.0,0.54,0.29,182.0,1003.0,0,500,Rain,light rain,10n
2025-06-29 23:45:20,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.16,100.0,0.54,0.29,182.0,1003.0,0,500,Rain,light rain,10n
2025-06-29 23:47:23,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.16,100.0,0.54,0.29,182.0,1003.0,0,500,Rain,light rain,10n
2025-06-29 23:49:24,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:51:25,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:53:26,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:55:27,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:57:28,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:59:30,Bac Kan,Bac Kan,24.27,24.27,24.27,99.0,25.34,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:01:32,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:03:33,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:05:33,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:07:34,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:09:35,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:11:35,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:13:37,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:15:38,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:17:39,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:19:41,Bac Kan,Bac Kan,24.29,24.29,24.29,99.0,25.36,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:21:41,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:23:41,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:25:42,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:27:44,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:29:46,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:31:46,Bac Kan,Bac Kan,24.28,24.28,24.28,99.0,25.35,10000.0,0.0,100.0,0.54,0.29,182.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:33:45,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:35:45,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:37:44,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:39:43,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:41:43,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:43:42,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:45:42,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:47:42,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:49:41,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:51:40,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:53:38,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:55:37,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:57:36,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 00:59:36,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:01:36,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:03:38,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:05:37,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:07:38,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:09:40,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:11:42,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:13:46,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:15:47,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:17:48,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-30 01:19:50,Bac Kan,Bac Kan,24.2,24.2,24.2,99.0,25.26,10000.0,0.0,100.0,0.51,0.16,174.0,1003.0,0,804,Clouds,overcast clouds,04n
