time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-06-29 23:29:17,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:30:25,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:32:52,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:34:53,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:36:57,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:38:58,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:41:05,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:43:08,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:45:19,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:47:21,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:49:22,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:51:24,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:53:25,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:55:26,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:57:27,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-06-29 23:59:29,Can Tho,Can Tho,24.99,24.99,24.99,100.0,26.16,10000.0,0.0,20.0,1.54,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
