time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-06-29 23:29:21,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.98,26.98,26.98,92.0,30.89,10000.0,0.0,100.0,1.21,1.67,211.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:30:29,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.98,26.98,26.98,92.0,30.89,10000.0,0.0,100.0,1.21,1.67,211.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:32:57,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:34:59,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:37:01,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:39:06,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:41:10,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:43:18,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:45:23,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:47:26,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:49:27,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:51:28,Thanh Hoa-Thanh Hoa,Thanh Hoa,26.83,26.83,26.83,93.0,30.54,10000.0,0.0,100.0,1.2,1.52,232.0,1001.0,0,804,Clouds,overcast clouds,04n
